City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,denkanikota,12.5333,77.8,24.18,77,100,2.48,IN,1691723087
184,gillette,44.2911,-105.5022,21.64,55,0,3.6,US,1691723087
185,kingston,17.997,-76.7936,26.25,95,48,0.45,JM,1691723019
186,kodiak,57.79,-152.4072,12.73,94,100,3.6,US,1691723088
187,kingman,35.1894,-114.053,33.71,27,0,4.12,US,1691723088
188,margaret river,-33.95,115.0667,14.91,66,27,2.91,AU,1691723088
189,darwin,-12.4611,130.8418,30.5,32,0,5.66,AU,1691722804
190,karasburg,-28.0167,18.75,14.64,30,16,6.44,NA,1691723088
191,rongelap,11.1635,166.8941,28.32,74,100,6.04,MH,1691723089
192,marshall,34.3834,-86.3333,26.17,90,75,0.0,US,1691722854
193,petoskey,45.3733,-84.9553,17.17,89,0,0.0,US,1691722995
194,sarangani,5.4033,125.4636,28.22,76,100,5.42,PH,1691723089
195,saudarkrokur,65.7461,-19.6394,6.28,93,39,2.24,IS,1691723089
196,kampung tanjung karang,3.4242,101.1849,33.11,69,36,1.45,MY,1691723090
197,xinyuan,37.3,99.0,13.55,69,97,1.71,CN,1691723090
198,queenstown,-31.8976,26.8753,9.46,49,0,2.9,ZA,1691723090
199,concepcion,-36.827,-73.0498,7.89,93,20,2.57,CL,1691722998
200,vorgashor,67.5833,63.95,7.93,75,77,4.8,RU,1691723090
201,lockwood,45.8191,-108.4149,25.94,34,20,1.54,US,1691723090
202,mejit,10.2753,170.8646,28.15,79,59,6.19,MH,1691723091
203,vadso,70.0744,29.7487,16.09,82,20,6.69,NO,1691723091
204,yulinshi,38.2906,109.7494,24.94,61,100,11.75,CN,1691723091
205,bredasdorp,-34.5322,20.0403,12.37,69,0,1.28,ZA,1691722826
206,salalah,17.0151,54.0924,26.05,100,100,3.6,OM,1691723091
207,punta arenas,-53.15,-70.9167,1.13,83,7,4.5,CL,1691722814
208,haiku-pauwela,20.9219,-156.3051,27.01,69,40,8.05,US,1691723092
209,elverum,60.8819,11.5623,9.98,91,95,0.97,NO,1691723092
210,sao jose da coroa grande,-8.8978,-35.1478,23.76,82,53,4.27,BR,1691723092
211,pajok,3.8651,32.4821,17.89,94,13,0.86,SS,1691723092
212,chongwe,-15.3292,28.682,11.7,88,0,2.95,ZM,1691723093
213,arawa,-6.2132,155.5367,25.63,92,100,1.83,PG,1691723093
214,gaiman,-43.2897,-65.4929,11.87,41,2,14.5,AR,1691723093
215,minas de marcona,-15.2119,-75.1103,12.24,90,86,6.37,PE,1691723093
216,ulladulla,-35.35,150.4667,17.18,40,16,3.24,AU,1691723093
217,tolanaro,-25.0319,46.9987,17.04,82,75,1.03,MG,1691723094
218,ilhabela,-23.7781,-45.3581,20.42,90,12,1.85,BR,1691723094
219,saint-paul-les-dax,43.7272,-1.0516,17.29,99,24,0.0,FR,1691723094
220,asaita,11.5636,41.4394,32.14,43,30,1.63,ET,1691723094
221,naco,31.3347,-109.9483,28.05,43,82,3.13,MX,1691723094
222,castro,-24.7911,-50.0119,15.96,68,0,3.05,BR,1691722850
223,san mariano,7.5,126.0,29.83,66,75,2.39,PH,1691723095
224,motilla del palancar,39.5709,-1.9068,22.0,47,0,2.5,ES,1691722662
225,nagqu,31.5,92.0,10.79,73,100,0.62,CN,1691723095
226,weno,7.4515,151.8468,30.97,70,100,3.6,FM,1691723095
227,happy valley-goose bay,53.3168,-60.3315,14.17,72,75,2.57,CA,1691723095
228,kushiro,42.975,144.3747,24.53,100,75,4.63,JP,1691723096
229,cabo san lucas,22.8909,-109.9124,30.84,75,20,1.54,MX,1691722324
230,juneau,58.3019,-134.4197,15.68,97,100,4.63,US,1691723060
231,sittensen,53.2762,9.5043,15.08,87,95,2.76,DE,1691723096
232,charlottetown,46.2352,-63.1267,15.43,94,100,2.57,CA,1691722832
233,vilhena,-12.7406,-60.1458,26.4,35,100,1.68,BR,1691723097
234,tura,25.5198,90.2201,25.52,94,100,2.82,IN,1691723097
235,tommot,58.9564,126.2925,20.4,75,100,2.28,RU,1691723097
236,richards bay,-28.783,32.0377,14.71,85,1,3.7,ZA,1691723097
237,boa vista,2.8197,-60.6733,27.99,69,0,2.57,BR,1691722889
238,mount gambier,-37.8333,140.7667,13.82,68,100,4.3,AU,1691723091
239,howrah,22.5892,88.3103,29.0,84,75,2.06,IN,1691723098
240,salinopolis,-0.6136,-47.3561,25.3,87,12,3.94,BR,1691723098
241,paraguari,-25.6208,-57.1472,24.57,51,19,2.29,PY,1691723098
242,pingliang,35.5392,106.6861,22.03,74,99,6.78,CN,1691723099
243,oranjemund,-28.55,16.4333,16.42,64,35,1.19,NA,1691723099
244,tofol,5.3248,163.0078,27.88,83,75,1.54,FM,1691723099
245,buenaventura,3.8801,-77.0312,25.15,94,44,1.14,CO,1691723099
246,kidal,18.4411,1.4078,29.46,51,99,2.05,ML,1691723100
247,ataq,14.5377,46.8319,25.36,53,96,4.28,YE,1691723100
248,mogadishu,2.0371,45.3438,24.41,82,32,7.68,SO,1691723100
249,retreat,38.8245,-85.8533,22.47,87,2,1.28,US,1691723101
250,palembang,-2.9167,104.7458,29.05,70,40,4.63,ID,1691722810
